encounter_datetime,park_area_id,city_agency,encounter_type,simplified_encounter_type,sd_patronscomplied,sd_patronsnocomply,sd_amenity,closed_amenity,closed_patroncount,closed_approach,closed_outcome,park_borough
07/04/2020 06:40:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/08/2020 10:10:00 AM,B553,DOHMH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/07/2020 02:47:00 PM,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
06/28/2020 04:17:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
06/29/2020 04:20:00 PM,M071-04,Law Department,,,,,,Basketball court,10,false,false,Manhattan
07/05/2020 01:30:00 PM,B218,DOHMH,Social distancing,Social Distancing,0,6,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 01:30:00 PM,B218,DOHMH,Social distancing,Social Distancing,0,6,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 01:30:00 PM,B218,DOHMH,Social distancing,Social Distancing,0,6,Open field/multi-purpose play area,,,,,Brooklyn
07/07/2020 06:30:00 PM,Q393A,DOHMH,Social distancing,Social Distancing,3,0,Open field/multi-purpose play area,,,,,Queens
07/05/2020 05:00:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/07/2020 07:45:00 PM,Q004,DOHMH,Social distancing,Social Distancing,5,0,Skate park,,,,,Queens
07/07/2020 08:36:00 PM,B080,DOHMH,Social distancing,Social Distancing,0,3,Bench/sitting area,,,,,Brooklyn
07/07/2020 08:16:00 PM,B080,DOHMH,Social distancing,Social Distancing,5,0,Walking path,,,,,Brooklyn
07/07/2020 07:45:00 PM,Q004,DOHMH,Social distancing,Social Distancing,5,0,Skate park,,,,,Queens
07/07/2020 07:43:00 PM,Q004,DOHMH,Social distancing,Social Distancing,5,0,Bench/sitting area,,,,,Queens
07/07/2020 07:42:00 PM,B080,DOHMH,Social distancing,Social Distancing,0,3,Bench/sitting area,,,,,Brooklyn
07/07/2020 06:30:00 PM,Q448-01,DOHMH,Social distancing,Social Distancing,15,15,Chess area,,,,,Queens
07/07/2020 04:35:00 PM,Q448-99,DOHMH,Social distancing,Social Distancing,20,5,Playground,,,,,Queens
07/07/2020 07:28:00 PM,B080,DOHMH,Social distancing,Social Distancing,7,3,Bench/sitting area,,,,,Brooklyn
07/07/2020 07:24:00 AM,Q004,DOHMH,Social distancing,Social Distancing,10,10,Soccer field,,,,,Queens
07/07/2020 07:20:00 PM,Q004,DOHMH,Social distancing,Social Distancing,15,15,Soccer field,,,,,Queens
07/07/2020 07:14:00 PM,Q004,DOHMH,Social distancing,Social Distancing,15,15,Soccer field,,,,,Queens
07/07/2020 07:04:00 PM,B169A,DOHMH,Social distancing,Social Distancing,12,5,Chess area,,,,,Brooklyn
07/07/2020 06:56:00 PM,B169A,DOHMH,Social distancing,Social Distancing,3,0,Bench/sitting area,,,,,Brooklyn
07/07/2020 06:52:00 PM,B169A,DOHMH,Social distancing,Social Distancing,4,0,Bench/sitting area,,,,,Brooklyn
07/07/2020 06:50:00 PM,B169A,DOHMH,Social distancing,Social Distancing,3,0,Bench/sitting area,,,,,Brooklyn
07/07/2020 06:26:00 PM,M058-01,DOHMH,Social distancing,Social Distancing,0,0,Chess area,,,,,Manhattan
07/07/2020 06:35:00 PM,B080,DOHMH,Social distancing,Social Distancing,3,0,Walking path,,,,,Brooklyn
07/07/2020 06:20:00 PM,B080,DOHMH,Social distancing,Social Distancing,0,3,Bench/sitting area,,,,,Brooklyn
,Q104,Law Department,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/07/2020 05:51:00 PM,B080,DOHMH,Social distancing,Social Distancing,2,3,Soccer field,,,,,Brooklyn
07/07/2020 05:35:00 PM,B080,DOHMH,Social distancing,Social Distancing,4,0,Walking path,,,,,Brooklyn
07/07/2020 05:10:00 PM,B066,DDC,Social distancing,Social Distancing,8,0,Open field/multi-purpose play area,,,,,Brooklyn
07/07/2020 05:10:00 PM,B080,DOHMH,Social distancing,Social Distancing,0,3,Bench/sitting area,,,,,Brooklyn
07/07/2020 04:55:00 PM,B080,DOHMH,Social distancing,Social Distancing,3,0,Chess area,,,,,Brooklyn
07/07/2020 04:50:00 PM,B080,DOHMH,Social distancing,Social Distancing,4,0,Chess area,,,,,Brooklyn
07/07/2020 04:35:00 PM,B218,DOHMH,Social distancing,Social Distancing,0,10,Handball court,,,,,Brooklyn
07/07/2020 04:20:00 PM,B218,DOHMH,Social distancing,Social Distancing,6,0,Chess area,,,,,Brooklyn
07/07/2020 04:25:00 PM,B066,DDC,Social distancing,Social Distancing,5,30,Skate park,,,,,Brooklyn
07/07/2020 04:15:00 PM,B066,DDC,Social distancing,Social Distancing,10,0,Open field/multi-purpose play area,,,,,Brooklyn
07/07/2020 01:15:00 PM,B066,DDC,Social distancing,Social Distancing,0,100,Playground,,,,,Brooklyn
07/07/2020 02:47:00 PM,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/03/2020 03:43:00 PM,M010,OATH,Social distancing,Social Distancing,12,0,Walking path,,,,,Manhattan
,Q104,Law Department,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/07/2020 12:30:00 PM,M089,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/07/2020 01:15:00 PM,B066,DDC,Social distancing,Social Distancing,0,100,Playground,,,,,Brooklyn
07/07/2020 12:15:00 PM,B066,DDC,Social distancing,Social Distancing,6,0,Walking path,,,,,Brooklyn
,Q104,Law Department,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/07/2020 11:30:00 AM,B066,DDC,Social distancing,Social Distancing,5,0,Bench/sitting area,,,,,Brooklyn
07/07/2020 11:30:00 AM,B066,DDC,Social distancing,Social Distancing,5,0,Bench/sitting area,,,,,Brooklyn
07/06/2020 05:18:00 PM,M010-241,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 06:34:00 PM,Q102,DEP,Social distancing,Social Distancing,5,0,Track/field area,,,,,Queens
07/05/2020 06:30:00 PM,B018,OATH,Social distancing,Social Distancing,30,60,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 05:00:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/04/2020 06:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 11:30:00 AM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/06/2020 07:40:00 PM,Q004,DOHMH,Social distancing,Social Distancing,20,20,Soccer field,,,,,Queens
07/06/2020 07:13:00 PM,Q004,DOHMH,Social distancing,Social Distancing,4,4,Walking path,,,,,Queens
07/06/2020 06:15:00 PM,Q004,DOHMH,Social distancing,Social Distancing,4,0,Walking path,,,,,Queens
07/06/2020 06:15:00 PM,Q004,DOHMH,Social distancing,Social Distancing,3,0,Walking path,,,,,Queens
07/05/2020 05:00:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,Q104,Law Department,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/06/2020 05:18:00 PM,M010-241,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/01/2020 04:18:00 AM,M010,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 11:30:00 AM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 12:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
,Q104,Law Department,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:45:00 PM,M099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 06:00:00 PM,B544,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/07/2020 05:20:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
07/05/2020 06:48:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,Q005-06,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,Q005-04,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,Q005-06,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,Q005-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 03:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 02:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 03:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 04:45:00 PM,M099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
,Q001,DEP,Social distancing,Social Distancing,12,0,Soccer field,,,,,Queens
,Q001,DEP,Social distancing,Social Distancing,15,0,Open field/multi-purpose play area,,,,,Queens
07/05/2020 12:45:00 PM,Q001,DEP,Social distancing,Social Distancing,12,0,Bench/sitting area,,,,,Queens
07/05/2020 06:30:00 PM,B018,DEP,Social distancing,Social Distancing,50,5,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 06:34:00 PM,Q102,DEP,Social distancing,Social Distancing,5,0,Track/field area,,,,,Queens
07/05/2020 05:00:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:11:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:00:00 PM,Q005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
,Q005-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 07:00:00 PM,X150L,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:58:00 PM,Q020,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:45:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
07/05/2020 06:50:00 PM,Q099-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:50:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:50:00 PM,Q356,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:55:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:48:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:47:00 PM,X045,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:45:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
07/05/2020 06:41:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:30:00 PM,Q004,DEP,Social distancing,Social Distancing,8,4,Open field/multi-purpose play area,,,,,Queens
07/05/2020 06:43:00 PM,M071,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 06:30:00 PM,X150L,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:40:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:37:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:38:00 PM,B217,PEU,Social distancing,Social Distancing,13,0,Bench/sitting area,,,,,Brooklyn
07/05/2020 06:38:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:00:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 05:32:00 PM,B073,DEP,Social distancing,Social Distancing,15,0,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 06:36:00 PM,M010,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 06:30:00 PM,B018,DEP,Social distancing,Social Distancing,50,5,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 06:34:00 PM,Q102,DEP,Social distancing,Social Distancing,5,0,Track/field area,,,,,Queens
07/05/2020 06:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:34:00 AM,B082,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 06:35:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:33:00 PM,Q099,DEP,Social distancing,Social Distancing,10,0,Walking path,,,,,Queens
07/05/2020 06:30:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 06:00:00 PM,Q015-08,DEP,Social distancing,Social Distancing,6,4,Bench/sitting area,,,,,Queens
07/05/2020 06:25:00 PM,Q015,DEP,Social distancing,Social Distancing,8,5,Track/field area,,,,,Queens
07/05/2020 06:28:00 PM,X045,DEP,Social distancing,Social Distancing,10,0,Bench/sitting area,,,,,Bronx
07/05/2020 06:00:00 PM,B018-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 06:30:00 PM,Q020,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:45:00 PM,Q024,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:26:00 PM,B057,HPD,Social distancing,Social Distancing,0,60,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 05:15:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/04/2020 01:45:00 PM,Q448-99,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:18:00 PM,Q008,DEP,Social distancing,Social Distancing,2,0,Walking path,,,,,Queens
07/05/2020 05:58:00 PM,Q300A-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:00:00 PM,X092-05,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:30:00 PM,X092-09,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:12:00 PM,B217,PEU,Social distancing,Social Distancing,11,0,Bench/sitting area,,,,,Brooklyn
07/05/2020 05:45:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 06:00:00 PM,B544,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 06:10:00 PM,Q099-16,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:00:00 PM,B544,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 06:09:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 04:00:00 PM,B544,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 05:58:00 PM,Q300A-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/06/2020 03:00:00 PM,B544,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 06:00:00 PM,Q005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 01:00:00 PM,Q005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:05:00 PM,Q102,DEP,Social distancing,Social Distancing,6,0,Walking path,,,,,Queens
07/05/2020 04:04:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:50:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 06:00:00 PM,Q020,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:55:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:00:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:52:00 PM,M071-16,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 05:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:51:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:45:00 PM,B073,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 05:38:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:00:00 PM,X092-05,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:35:00 PM,Q102,DEP,Social distancing,Social Distancing,10,0,Bench/sitting area,,,,,Queens
07/05/2020 05:34:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:30:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/04/2020 05:35:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:32:00 PM,Q024,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:30:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:29:00 PM,X045,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:30:00 PM,X045,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:00:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:15:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 05:24:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/07/2020 05:20:00 PM,R005,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Staten Island
07/05/2020 05:20:00 PM,M099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 05:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:16:00 PM,Q099,DEP,Social distancing,Social Distancing,4,0,Bench/sitting area,,,,,Queens
07/05/2020 05:00:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 05:15:00 PM,M071-13,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
,Q099,DEP,Social distancing,Social Distancing,17,0,Open field/multi-purpose play area,,,,,Queens
07/05/2020 05:13:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:45:00 PM,B018,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 05:11:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:00:00 PM,Q005-03,DEP,Social distancing,Social Distancing,0,35,Baseball field,,,,,Queens
07/05/2020 05:00:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:55:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:07:00 PM,Q102-03,DEP,Social distancing,Social Distancing,11,0,Open field/multi-purpose play area,,,,,Queens
07/05/2020 04:30:00 PM,B018-02,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 05:04:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:03:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:00:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 04:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 05:00:00 PM,R031,DEP,Social distancing,Social Distancing,60,25,Open field/multi-purpose play area,,,,,Staten Island
07/05/2020 04:45:00 PM,M099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 05:00:00 PM,Q005-12,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 05:00:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:59:00 PM,M010,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 05:00:00 PM,Q020,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:02:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:59:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:03:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 03:30:00 PM,Q015,DEP,Social distancing,Social Distancing,6,6,Open field/multi-purpose play area,,,,,Queens
07/05/2020 04:40:00 PM,Q015,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 04:52:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 02:40:00 PM,B032-01,DEP,Social distancing,Social Distancing,3,15,Track/field area,,,,,Brooklyn
07/05/2020 03:46:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:45:00 PM,Q008,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 03:30:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 04:15:00 PM,Q001,DEP,Social distancing,Social Distancing,5,0,Open field/multi-purpose play area,,,,,Queens
07/05/2020 04:45:00 PM,Q102,DEP,Social distancing,Social Distancing,6,0,Bench/sitting area,,,,,Queens
07/05/2020 04:35:00 PM,Q004,DEP,Social distancing,Social Distancing,4,8,Open field/multi-purpose play area,,,,,Queens
07/05/2020 04:45:00 PM,M353,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 04:40:00 PM,Q448-99,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:30:00 PM,B082-02,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Brooklyn
07/05/2020 04:33:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 02:13:00 PM,X118,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 04:25:00 PM,Q099,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:25:00 PM,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 04:24:00 PM,Q001,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:21:00 PM,M010,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 04:19:00 PM,Q102,DEP,Social distancing,Social Distancing,7,0,Open field/multi-purpose play area,,,,,Queens
,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 04:15:00 PM,B073,DEP,Social distancing,Social Distancing,11,0,Open field/multi-purpose play area,,,,,Brooklyn
07/05/2020 04:19:00 PM,Q356,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:05:00 PM,Q001,HPD,Social distancing,Social Distancing,0,8,Open field/multi-purpose play area,,,,,Queens
07/05/2020 03:00:00 PM,Q356,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:15:00 PM,Q004,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:15:00 PM,Q051,OATH,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:14:00 PM,M353,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
07/05/2020 03:50:00 PM,Q001,HPD,Social distancing,Social Distancing,0,14,Baseball field,,,,,Queens
07/05/2020 04:11:00 PM,Q008,DEP,Social distancing,Social Distancing,2,0,Bench/sitting area,,,,,Queens
07/04/2020 04:10:00 PM,Q102,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
,X092,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Bronx
07/05/2020 03:50:00 PM,Q004,DEP,Social distancing,Social Distancing,6,0,Open field/multi-purpose play area,,,,,Queens
07/05/2020 04:05:00 PM,X092,DEP,Social distancing,Social Distancing,5,0,Skate park,,,,,Bronx
07/05/2020 04:04:00 PM,Q015,DEP,Patrons in an area closed to the public,Patrons in Closed Area,,,,Handball court,24,false,false,Queens
07/05/2020 02:05:00 PM,Q001,HPD,Social distancing,Social Distancing,15,0,Open field/multi-purpose play area,,,,,Queens
,Q005-01,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Queens
07/05/2020 04:06:00 PM,M010,DEP,Everyone at this site is in compliance with social distancing,No Encounter,,,,,,,,Manhattan
